,sale_price,overall_qual,square_feet,total_room,year_build,lot_frontage
79,110000.0,5.0,682.0,5.0,1910.0,60.0
80,193500.0,6.0,1182.0,8.0,1968.0,100.0
81,153500.0,6.0,1337.0,5.0,1998.0,32.0
82,245000.0,8.0,1563.0,6.0,2007.0,78.0
83,126500.0,5.0,1065.0,6.0,1960.0,80.0
84,168500.0,7.0,804.0,7.0,1995.0,
85,260000.0,8.0,1301.0,9.0,1991.0,121.0
86,174000.0,6.0,684.0,6.0,2005.0,122.0
87,164500.0,6.0,612.0,4.0,2009.0,40.0
88,85000.0,3.0,1013.0,6.0,1915.0,105.0
89,123600.0,4.0,990.0,5.0,1994.0,60.0
90,109900.0,4.0,1040.0,4.0,1950.0,60.0
91,98600.0,5.0,1235.0,6.0,1961.0,85.0
92,163500.0,5.0,964.0,5.0,1921.0,80.0
93,133900.0,6.0,1260.0,9.0,1910.0,60.0
94,204750.0,6.0,905.0,7.0,1997.0,69.0
95,185000.0,6.0,680.0,6.0,1993.0,
96,214000.0,7.0,1588.0,6.0,1999.0,78.0
97,94750.0,4.0,960.0,6.0,1965.0,73.0
98,83000.0,5.0,835.0,5.0,1920.0,85.0
99,128950.0,4.0,1225.0,6.0,1959.0,77.0
100,205000.0,6.0,1610.0,6.0,1977.0,
101,178000.0,6.0,977.0,7.0,1985.0,77.0
102,118964.0,5.0,1535.0,8.0,1979.0,64.0
103,198900.0,7.0,1226.0,6.0,2009.0,94.0
104,169500.0,7.0,1226.0,7.0,1931.0,
105,250000.0,8.0,1053.0,9.0,2003.0,75.0
106,100000.0,4.0,1047.0,6.0,1885.0,60.0
107,115000.0,5.0,789.0,5.0,1948.0,50.0
108,115000.0,5.0,997.0,7.0,1919.0,85.0
109,190000.0,6.0,1844.0,7.0,1977.0,105.0
110,136900.0,6.0,1216.0,7.0,1954.0,75.0
111,180000.0,7.0,774.0,7.0,2000.0,
112,383970.0,7.0,1282.0,10.0,2007.0,77.0
113,217000.0,6.0,2259.0,7.0,1953.0,
114,259500.0,6.0,1436.0,9.0,1945.0,61.0
115,176000.0,6.0,729.0,5.0,1999.0,34.0
116,139000.0,5.0,1092.0,6.0,1962.0,
117,155000.0,5.0,1125.0,5.0,2006.0,74.0
118,320000.0,7.0,1699.0,11.0,1990.0,90.0
119,163990.0,6.0,728.0,8.0,2005.0,65.0
120,180000.0,6.0,988.0,4.0,1969.0,
121,100000.0,4.0,772.0,4.0,1939.0,50.0
122,136000.0,6.0,1080.0,5.0,1958.0,75.0
123,153900.0,6.0,1199.0,5.0,1993.0,55.0
124,181000.0,6.0,1586.0,7.0,1979.0,48.0
125,84500.0,6.0,520.0,5.0,1935.0,60.0
126,128000.0,6.0,958.0,5.0,1976.0,
127,87000.0,5.0,840.0,5.0,1930.0,55.0
128,155000.0,6.0,660.0,6.0,1966.0,69.0
129,150000.0,5.0,1053.0,6.0,1958.0,69.0
130,226000.0,7.0,1216.0,8.0,1966.0,88.0
131,244000.0,6.0,1022.0,7.0,2000.0,
132,150750.0,5.0,1327.0,7.0,1959.0,75.0
133,220000.0,8.0,1296.0,6.0,2001.0,
134,180000.0,5.0,1721.0,7.0,1968.0,78.0
135,174000.0,7.0,1682.0,7.0,1970.0,80.0
136,143000.0,5.0,1214.0,5.0,1967.0,
137,171000.0,7.0,1959.0,9.0,1988.0,82.0
138,230000.0,8.0,1004.0,7.0,1999.0,73.0
139,231500.0,6.0,928.0,7.0,1997.0,65.0
140,115000.0,4.0,864.0,5.0,1971.0,70.0
141,260000.0,7.0,1734.0,7.0,2005.0,78.0
142,166000.0,5.0,910.0,6.0,1952.0,71.0
143,204000.0,7.0,1501.0,6.0,1999.0,78.0
144,125000.0,5.0,1728.0,10.0,1963.0,70.0
145,130000.0,6.0,970.0,7.0,2004.0,24.0
146,105000.0,5.0,875.0,5.0,1931.0,51.0
147,222500.0,7.0,884.0,8.0,2001.0,
148,141000.0,7.0,1080.0,6.0,2004.0,63.0
149,115000.0,5.0,896.0,7.0,1936.0,
150,122000.0,5.0,969.0,5.0,1975.0,120.0
151,372402.0,8.0,1710.0,6.0,2007.0,107.0
152,190000.0,6.0,1097.0,8.0,1971.0,
153,235000.0,6.0,1252.0,4.0,1960.0,
154,125000.0,6.0,1200.0,7.0,1923.0,84.0
155,79000.0,6.0,572.0,5.0,1924.0,60.0
156,109500.0,5.0,1040.0,5.0,1950.0,60.0
157,269500.0,8.0,774.0,8.0,2009.0,92.0
158,254900.0,7.0,991.0,8.0,2004.0,100.0
159,320000.0,7.0,1392.0,9.0,2005.0,134.0
160,162500.0,6.0,1232.0,6.0,1984.0,
161,412500.0,9.0,1572.0,10.0,2003.0,110.0
162,220000.0,7.0,1541.0,7.0,2005.0,95.0
163,103200.0,4.0,882.0,4.0,1956.0,55.0
164,152000.0,6.0,1149.0,5.0,1926.0,40.0
165,127500.0,5.0,808.0,6.0,1940.0,62.0
166,190000.0,5.0,1867.0,7.0,1955.0,
167,325624.0,8.0,1610.0,8.0,2007.0,86.0
168,183500.0,7.0,840.0,7.0,2004.0,62.0
169,228000.0,8.0,1707.0,6.0,1981.0,
170,128500.0,5.0,854.0,7.0,1941.0,
171,215000.0,6.0,1656.0,7.0,1960.0,141.0
172,239000.0,7.0,1064.0,5.0,1987.0,44.0
173,163000.0,6.0,1362.0,6.0,1961.0,80.0
174,184000.0,6.0,1651.0,7.0,1986.0,47.0
175,243000.0,6.0,2158.0,7.0,1950.0,84.0
176,211000.0,6.0,1164.0,8.0,1988.0,97.0
177,172500.0,5.0,1252.0,8.0,1958.0,
178,501837.0,9.0,2234.0,9.0,2008.0,63.0
179,100000.0,5.0,968.0,5.0,1923.0,60.0
180,177000.0,6.0,769.0,5.0,2000.0,
181,200100.0,7.0,901.0,9.0,1920.0,54.0
182,120000.0,5.0,1340.0,7.0,1957.0,60.0
183,200000.0,7.0,1362.0,6.0,2003.0,63.0
184,127000.0,5.0,936.0,5.0,1908.0,92.0
185,475000.0,10.0,1518.0,12.0,1892.0,90.0
186,173000.0,7.0,1217.0,6.0,1990.0,
187,135000.0,5.0,808.0,8.0,1916.0,60.0
188,153337.0,5.0,1224.0,6.0,1979.0,64.0
189,286000.0,8.0,1593.0,5.0,2001.0,41.0
190,315000.0,8.0,1549.0,10.0,1932.0,70.0
191,184000.0,7.0,725.0,7.0,1972.0,
192,192000.0,7.0,1431.0,6.0,1999.0,68.0
193,130000.0,7.0,970.0,7.0,2004.0,24.0
194,127000.0,5.0,864.0,5.0,1972.0,60.0
195,148500.0,6.0,855.0,7.0,1976.0,24.0
196,311872.0,7.0,1726.0,8.0,2007.0,79.0
197,235000.0,8.0,1360.0,8.0,1918.0,174.0
198,104000.0,6.0,929.0,8.0,1912.0,92.0
199,274900.0,8.0,1713.0,7.0,2004.0,76.0
200,140000.0,4.0,1121.0,5.0,2003.0,80.0
201,171500.0,6.0,1279.0,6.0,1977.0,75.0
202,112000.0,6.0,865.0,6.0,1924.0,50.0
203,149000.0,6.0,848.0,3.0,2004.0,
204,110000.0,5.0,720.0,5.0,1947.0,50.0
205,180500.0,7.0,1442.0,5.0,1990.0,99.0
206,143900.0,5.0,1696.0,8.0,1962.0,40.0
207,141000.0,4.0,1100.0,6.0,1960.0,
208,277000.0,7.0,1180.0,7.0,1988.0,
209,145000.0,6.0,1092.0,6.0,1964.0,75.0
210,98000.0,5.0,864.0,5.0,1925.0,67.0
211,186000.0,6.0,1212.0,6.0,2009.0,83.0
212,252678.0,7.0,932.0,7.0,2009.0,72.0
213,156000.0,5.0,990.0,5.0,1995.0,43.0
214,161750.0,6.0,689.0,6.0,1977.0,
215,134450.0,5.0,1236.0,6.0,1957.0,72.0
216,210000.0,7.0,1436.0,8.0,2004.0,65.0
217,107000.0,4.0,810.0,8.0,1925.0,57.0
218,311500.0,7.0,1137.0,8.0,1939.0,
219,167240.0,7.0,1248.0,5.0,2005.0,43.0
220,204900.0,7.0,1498.0,5.0,2006.0,73.0
221,200000.0,6.0,1010.0,8.0,2002.0,
222,179900.0,6.0,811.0,6.0,1975.0,85.0
223,97000.0,4.0,864.0,4.0,1971.0,70.0
224,386250.0,10.0,2392.0,8.0,2003.0,103.0
225,112000.0,5.0,630.0,6.0,1971.0,21.0
226,290000.0,7.0,1214.0,9.0,1995.0,82.0
227,106000.0,6.0,483.0,5.0,1970.0,21.0
228,125000.0,5.0,912.0,5.0,1967.0,70.0
229,192500.0,7.0,1555.0,7.0,2005.0,43.0
230,148000.0,6.0,1194.0,6.0,1959.0,73.0
231,403000.0,8.0,1490.0,9.0,1995.0,174.0
232,94500.0,6.0,483.0,5.0,1972.0,21.0
233,128200.0,5.0,894.0,5.0,1976.0,75.0
234,216500.0,6.0,860.0,8.0,2002.0,
235,89500.0,6.0,483.0,5.0,1971.0,21.0
236,185500.0,7.0,1414.0,6.0,2004.0,65.0
237,194500.0,7.0,1014.0,7.0,1993.0,
238,318000.0,8.0,1694.0,7.0,2007.0,93.0
239,113000.0,6.0,798.0,7.0,1945.0,52.0
240,262500.0,8.0,1566.0,7.0,2008.0,75.0
241,110500.0,5.0,866.0,4.0,1945.0,40.0
242,79000.0,5.0,889.0,6.0,1900.0,63.0
243,120000.0,6.0,626.0,6.0,1980.0,75.0
244,205000.0,7.0,1222.0,8.0,1994.0,
245,241500.0,7.0,1872.0,6.0,1988.0,80.0
246,137000.0,6.0,908.0,9.0,1910.0,69.0
247,140000.0,6.0,1375.0,5.0,1954.0,75.0
248,180000.0,7.0,840.0,8.0,2003.0,72.0
249,277000.0,6.0,1444.0,7.0,1958.0,
250,76500.0,3.0,1306.0,6.0,1940.0,55.0
251,235000.0,8.0,1625.0,5.0,2006.0,44.0
252,173000.0,6.0,798.0,6.0,2004.0,65.0
253,158000.0,6.0,1302.0,7.0,1964.0,85.0
254,145000.0,5.0,1314.0,5.0,1957.0,70.0
255,230000.0,7.0,1005.0,8.0,1999.0,66.0
256,207500.0,6.0,864.0,7.0,2003.0,64.0
257,220000.0,7.0,1604.0,8.0,2006.0,68.0
258,231500.0,7.0,963.0,7.0,2001.0,80.0
259,97000.0,5.0,882.0,4.0,1956.0,70.0
260,176000.0,6.0,1382.0,6.0,1962.0,120.0
261,276000.0,8.0,1482.0,10.0,2007.0,69.0
262,151000.0,6.0,1212.0,6.0,1977.0,88.0
263,130000.0,5.0,926.0,6.0,1929.0,50.0
264,73000.0,5.0,764.0,4.0,1925.0,30.0
265,175500.0,6.0,1422.0,7.0,1981.0,78.0
266,185000.0,6.0,802.0,8.0,1997.0,70.0
267,179500.0,5.0,1052.0,8.0,1939.0,60.0
268,120500.0,5.0,778.0,4.0,1940.0,71.0
269,148000.0,6.0,1113.0,6.0,1976.0,
270,266000.0,8.0,1095.0,8.0,2006.0,84.0
271,241500.0,7.0,1363.0,5.0,1954.0,73.0
272,290000.0,8.0,1164.0,9.0,1999.0,92.0
273,139000.0,6.0,1632.0,6.0,1958.0,80.0
274,124500.0,5.0,816.0,5.0,1982.0,76.0
275,205000.0,7.0,952.0,5.0,1925.0,55.0
276,201000.0,7.0,1560.0,7.0,2003.0,129.0
277,141000.0,4.0,864.0,4.0,1951.0,140.0
278,415298.0,9.0,2121.0,8.0,2006.0,107.0
279,192000.0,7.0,1156.0,8.0,1977.0,83.0
280,228500.0,7.0,1175.0,7.0,1989.0,82.0
281,185000.0,6.0,1262.0,5.0,2006.0,60.0
282,207500.0,7.0,1314.0,6.0,2007.0,34.0
283,244600.0,8.0,1468.0,6.0,2008.0,74.0
284,179200.0,6.0,1575.0,5.0,1992.0,50.0
285,164700.0,7.0,625.0,5.0,2006.0,35.0
286,159000.0,6.0,1085.0,7.0,1962.0,77.0
287,88000.0,4.0,858.0,5.0,1971.0,
288,122000.0,5.0,900.0,5.0,1967.0,
289,153575.0,6.0,698.0,7.0,1915.0,60.0
290,233230.0,8.0,1079.0,8.0,2006.0,120.0
291,135900.0,5.0,936.0,9.0,1912.0,55.0
292,131000.0,5.0,1148.0,8.0,1949.0,60.0
293,235000.0,7.0,1468.0,9.0,1977.0,
294,167000.0,6.0,1644.0,7.0,1953.0,80.0
295,142500.0,6.0,1003.0,6.0,1984.0,37.0
296,152000.0,5.0,910.0,6.0,1950.0,75.0
297,239000.0,7.0,975.0,7.0,1997.0,66.0
298,175000.0,6.0,1041.0,7.0,1968.0,90.0
299,158500.0,6.0,1152.0,6.0,1950.0,80.0
300,157000.0,5.0,1336.0,5.0,1953.0,90.0
301,267000.0,8.0,1210.0,9.0,1998.0,66.0
302,205000.0,7.0,1541.0,6.0,2001.0,118.0
303,149900.0,5.0,894.0,5.0,1972.0,70.0
304,295000.0,7.0,1675.0,10.0,1880.0,87.0
305,305900.0,8.0,2000.0,8.0,2004.0,80.0
306,225000.0,7.0,1122.0,8.0,1990.0,116.0
307,89500.0,6.0,1035.0,6.0,1920.0,
308,82500.0,4.0,861.0,4.0,1940.0,
309,360000.0,9.0,1944.0,8.0,2003.0,90.0
310,165600.0,6.0,697.0,6.0,1993.0,
311,132000.0,6.0,972.0,5.0,1948.0,50.0
312,119900.0,5.0,793.0,5.0,1939.0,65.0
313,375000.0,7.0,2036.0,8.0,1965.0,150.0
314,178000.0,7.0,832.0,6.0,1925.0,60.0
315,188500.0,7.0,716.0,6.0,2004.0,71.0
316,260000.0,7.0,1153.0,10.0,1980.0,94.0
317,270000.0,8.0,1088.0,8.0,2006.0,75.0
318,260000.0,7.0,1372.0,9.0,1993.0,90.0
319,187500.0,7.0,1472.0,6.0,1980.0,
320,342643.0,9.0,1249.0,9.0,2006.0,111.0
321,354000.0,8.0,1136.0,10.0,2004.0,99.0
322,301000.0,7.0,1553.0,8.0,1986.0,86.0
323,126175.0,3.0,1163.0,6.0,1955.0,49.0
324,242000.0,7.0,1898.0,11.0,1967.0,96.0
325,87000.0,5.0,803.0,5.0,1941.0,50.0
326,324000.0,8.0,1719.0,6.0,1993.0,32.0
327,145250.0,6.0,1383.0,7.0,1960.0,80.0
328,214500.0,6.0,1445.0,10.0,1916.0,
329,78000.0,5.0,596.0,6.0,1920.0,60.0
330,119000.0,5.0,1728.0,10.0,1964.0,
331,139000.0,5.0,1056.0,6.0,1958.0,70.0
332,284000.0,8.0,1629.0,7.0,2003.0,85.0
333,207000.0,7.0,1358.0,6.0,2004.0,59.0
334,192000.0,6.0,943.0,7.0,1998.0,59.0
335,228950.0,5.0,1619.0,7.0,1965.0,
336,377426.0,9.0,1922.0,8.0,2005.0,86.0
337,214000.0,7.0,1536.0,7.0,2002.0,70.0
338,202500.0,7.0,1621.0,8.0,1984.0,91.0
339,155000.0,6.0,1215.0,6.0,1958.0,66.0
340,202900.0,8.0,993.0,9.0,2002.0,85.0
341,82000.0,4.0,841.0,4.0,1950.0,60.0
342,87500.0,3.0,1040.0,6.0,1949.0,
343,266000.0,9.0,1684.0,6.0,2005.0,63.0
344,85000.0,5.0,536.0,4.0,1976.0,36.0
345,140200.0,6.0,972.0,6.0,1939.0,65.0
346,151500.0,6.0,958.0,5.0,1960.0,
347,157500.0,6.0,1478.0,6.0,1960.0,
348,154000.0,7.0,764.0,6.0,2003.0,36.0
349,437154.0,9.0,1848.0,10.0,2005.0,56.0
350,318061.0,9.0,1869.0,6.0,2007.0,68.0
351,190000.0,7.0,1453.0,6.0,1986.0,
352,95000.0,5.0,616.0,5.0,1941.0,60.0
353,105900.0,6.0,720.0,5.0,1928.0,60.0
354,140000.0,6.0,1192.0,6.0,1940.0,60.0
355,177500.0,6.0,1200.0,6.0,1995.0,105.0
356,173000.0,6.0,1167.0,6.0,1992.0,
357,134000.0,5.0,1142.0,6.0,1976.0,44.0
358,130000.0,5.0,1352.0,6.0,1958.0,92.0
359,280000.0,8.0,1086.0,7.0,1998.0,78.0
360,156000.0,6.0,912.0,5.0,1978.0,
361,145000.0,5.0,988.0,8.0,1940.0,
362,198500.0,7.0,495.0,7.0,2003.0,64.0
363,118000.0,6.0,483.0,5.0,1972.0,21.0
364,190000.0,6.0,790.0,6.0,1976.0,
365,147000.0,5.0,672.0,6.0,1920.0,59.0
366,159000.0,6.0,1394.0,6.0,1963.0,
367,165000.0,6.0,1431.0,6.0,1962.0,101.0
368,132000.0,5.0,1268.0,7.0,1954.0,78.0
369,162000.0,5.0,1287.0,7.0,1959.0,
370,172400.0,6.0,953.0,7.0,2000.0,
371,134432.0,4.0,1120.0,7.0,1959.0,80.0
372,125000.0,6.0,752.0,4.0,1984.0,50.0
373,123000.0,5.0,1319.0,5.0,1953.0,79.0
374,219500.0,7.0,847.0,8.0,2003.0,65.0
375,61000.0,1.0,904.0,4.0,1922.0,
376,148000.0,5.0,914.0,5.0,1996.0,57.0
377,340000.0,8.0,1580.0,8.0,2004.0,102.0
378,394432.0,9.0,1856.0,8.0,2010.0,88.0
379,179000.0,6.0,1007.0,7.0,2000.0,60.0
380,127000.0,5.0,1026.0,6.0,1924.0,50.0
381,187750.0,7.0,1301.0,5.0,2006.0,60.0
382,213500.0,7.0,939.0,8.0,2006.0,79.0
383,76000.0,6.0,784.0,5.0,1928.0,60.0
384,240000.0,6.0,1079.0,9.0,1992.0,
385,192000.0,8.0,1269.0,6.0,2004.0,43.0
386,81000.0,5.0,658.0,8.0,1910.0,58.0
387,125000.0,6.0,1125.0,6.0,1976.0,72.0
388,191000.0,7.0,1479.0,6.0,1999.0,93.0
389,426000.0,10.0,1742.0,9.0,2007.0,96.0
390,119000.0,5.0,961.0,7.0,1900.0,50.0
391,215000.0,6.0,804.0,7.0,2001.0,71.0
392,106500.0,5.0,882.0,5.0,1959.0,
393,100000.0,4.0,788.0,4.0,1941.0,
394,109000.0,5.0,735.0,5.0,1940.0,60.0
395,129000.0,5.0,1144.0,6.0,1956.0,68.0
396,123000.0,5.0,894.0,6.0,1972.0,60.0
397,169500.0,5.0,876.0,8.0,1962.0,69.0
398,67000.0,5.0,1077.0,6.0,1920.0,60.0
399,241000.0,7.0,1112.0,7.0,2006.0,65.0
400,245500.0,8.0,1288.0,4.0,1996.0,38.0
401,164990.0,7.0,1310.0,6.0,2005.0,65.0
402,108000.0,5.0,672.0,4.0,1940.0,60.0
403,258000.0,8.0,1165.0,10.0,1998.0,93.0
404,168000.0,6.0,806.0,7.0,1995.0,
405,150000.0,4.0,1620.0,8.0,1976.0,
406,115000.0,6.0,1166.0,6.0,1936.0,51.0
407,177000.0,6.0,840.0,8.0,1915.0,63.0
408,280000.0,7.0,1071.0,9.0,2006.0,109.0
409,339750.0,8.0,1050.0,8.0,2007.0,85.0
410,60000.0,5.0,1276.0,5.0,1958.0,68.0
411,145000.0,5.0,1056.0,5.0,1955.0,100.0
412,222000.0,7.0,1478.0,7.0,2009.0,
413,115000.0,5.0,1028.0,5.0,1927.0,56.0
414,228000.0,7.0,1080.0,9.0,1993.0,59.0
415,181134.0,7.0,1340.0,6.0,2007.0,73.0
416,149500.0,6.0,672.0,6.0,1978.0,74.0
417,239000.0,6.0,1370.0,10.0,1918.0,86.0
418,126000.0,5.0,756.0,7.0,1940.0,60.0
419,142000.0,5.0,1056.0,6.0,1968.0,65.0
420,206300.0,7.0,1344.0,8.0,1997.0,78.0
421,215000.0,6.0,1602.0,8.0,1977.0,
422,113000.0,5.0,988.0,4.0,1954.0,100.0
423,315000.0,8.0,1470.0,8.0,1998.0,80.0
424,139000.0,6.0,1196.0,6.0,1956.0,72.0
425,135000.0,7.0,707.0,6.0,1946.0,60.0
426,275000.0,7.0,1644.0,5.0,1989.0,
427,109008.0,4.0,907.0,5.0,1957.0,77.0
428,195400.0,7.0,1208.0,6.0,2007.0,64.0
429,175000.0,6.0,1412.0,6.0,1988.0,130.0
430,85400.0,6.0,483.0,4.0,1971.0,21.0
431,79900.0,6.0,1088.0,7.0,1920.0,60.0
432,122500.0,5.0,765.0,6.0,1971.0,24.0
433,181000.0,6.0,926.0,7.0,1997.0,100.0
434,81000.0,4.0,630.0,3.0,1972.0,21.0
435,212000.0,7.0,827.0,6.0,1996.0,43.0
436,116000.0,6.0,734.0,6.0,1920.0,40.0
437,119000.0,6.0,904.0,4.0,1926.0,50.0
438,90350.0,5.0,694.0,4.0,1913.0,40.0
439,110000.0,6.0,684.0,7.0,1920.0,67.0
440,555000.0,10.0,2402.0,10.0,2008.0,105.0
441,118000.0,4.0,1440.0,8.0,1955.0,92.0
442,162900.0,5.0,1128.0,8.0,1930.0,52.0
443,172500.0,7.0,1258.0,6.0,2006.0,53.0
444,210000.0,7.0,933.0,8.0,1994.0,70.0
445,127500.0,6.0,1689.0,7.0,1956.0,73.0
446,190000.0,6.0,1888.0,6.0,1966.0,137.0
447,199900.0,7.0,956.0,10.0,1998.0,
448,119500.0,6.0,780.0,7.0,1937.0,50.0
449,120000.0,3.0,679.0,6.0,1948.0,50.0
450,110000.0,6.0,813.0,5.0,1930.0,70.0
451,280000.0,7.0,1533.0,5.0,1975.0,62.0
452,204000.0,6.0,888.0,7.0,1996.0,
453,210000.0,8.0,786.0,6.0,2008.0,75.0
454,188000.0,5.0,1728.0,8.0,1976.0,63.0
455,175500.0,7.0,1242.0,6.0,1973.0,80.0
456,98000.0,5.0,624.0,7.0,1916.0,34.0
457,256000.0,4.0,1663.0,6.0,1954.0,
458,161000.0,8.0,833.0,7.0,1925.0,
459,110000.0,5.0,979.0,5.0,1950.0,
460,263435.0,8.0,832.0,8.0,2009.0,75.0
461,155000.0,7.0,575.0,6.0,1936.0,60.0
462,62383.0,5.0,864.0,5.0,1965.0,60.0
463,188700.0,6.0,849.0,6.0,1934.0,74.0
464,124000.0,5.0,1040.0,5.0,1978.0,60.0
465,178740.0,7.0,1414.0,6.0,2004.0,
466,167000.0,7.0,1277.0,5.0,1970.0,85.0
467,146500.0,5.0,888.0,7.0,1942.0,79.0
468,250000.0,8.0,1634.0,7.0,2006.0,98.0
469,187000.0,6.0,832.0,7.0,1993.0,76.0
470,212000.0,8.0,1502.0,4.0,1985.0,
471,190000.0,7.0,1161.0,8.0,1977.0,92.0
472,148000.0,6.0,1072.0,5.0,2005.0,35.0
473,440000.0,8.0,1976.0,7.0,2006.0,110.0
474,251000.0,8.0,1652.0,6.0,2000.0,41.0
475,132500.0,5.0,970.0,5.0,1963.0,80.0
476,208900.0,6.0,1493.0,7.0,1997.0,75.0
477,380000.0,9.0,2069.0,9.0,2006.0,105.0
478,297000.0,8.0,1718.0,7.0,2007.0,79.0
479,89471.0,4.0,1131.0,7.0,1937.0,50.0
480,326000.0,9.0,1850.0,8.0,2004.0,98.0
481,374000.0,9.0,1792.0,6.0,2003.0,72.0
482,155000.0,7.0,916.0,7.0,1915.0,50.0
483,164000.0,6.0,1216.0,5.0,1998.0,32.0
484,132500.0,5.0,999.0,6.0,1962.0,
485,147000.0,5.0,1113.0,5.0,1950.0,80.0
486,156000.0,5.0,1073.0,6.0,1965.0,79.0
487,175000.0,5.0,1484.0,7.0,1971.0,70.0
488,160000.0,5.0,1766.0,10.0,1900.0,60.0
489,86000.0,4.0,630.0,3.0,1970.0,21.0
490,115000.0,5.0,616.0,4.0,1976.0,
491,133000.0,6.0,958.0,5.0,1941.0,79.0
492,172785.0,6.0,728.0,8.0,2006.0,105.0
493,155000.0,5.0,1269.0,6.0,1960.0,70.0
494,91300.0,5.0,886.0,4.0,1938.0,50.0
495,34900.0,4.0,720.0,4.0,1920.0,60.0
